Parameter,Value,Error_Lower,Error_Upper,Fit_Type,Bootstrap_Index
var,0.7984896545143136,0.010531834528041717,0.010626812832392007,cov,59
A,9953.224542765574,99.79385995085231,99.7504778056443,cov_diag,59
mu,0.18730583490214534,0.00904522521614666,0.00904678600799122,cov_diag,59
var,0.799265582571049,0.011773727790008652,0.011797078639851072,cov_diag,59
A,9928.320581570668,95.66643891328243,95.98586417858748,cov,60
mu,0.20357425367237034,0.009170740300638264,0.009125718973181936,cov,60
var,0.8266330696363091,0.01095561126049193,0.010964826777813156,cov,60
A,9908.39173905178,99.61997634826676,99.9238590146854,cov_diag,60
mu,0.20442586412987154,0.009120862793532528,0.009096725603144232,cov_diag,60
var,0.8257025325391617,0.012108836472567441,0.012115460424495064,cov_diag,60
A,10143.184868717586,95.81045939275079,95.81417740194574,cov,61
mu,0.2232525242545926,0.0089204380919033,0.008918471015621942,cov,61
var,0.806077099822424,0.01046416714581596,0.010507707107319275,cov,61
A,10148.29332914772,99.90527902087018,99.64342774103824,cov_diag,61
mu,0.2250938470860516,0.008857549882081381,0.00891125440644767,cov_diag,61
var,0.8068134264345044,0.011590169885464442,0.011716331035495674,cov_diag,61
A,10088.565746924944,96.25088116171746,95.39047397583326,cov,62
mu,0.2046580903268991,0.00893354665653896,0.008962081077200243,cov,62
var,0.7941523960829235,0.010665691110397705,0.010651037277639231,cov,62
A,10084.000520900743,99.69680262643446,99.85289862331122,cov_diag,62
mu,0.2037630362779016,0.008901322525645102,0.008953555198562484,cov_diag,62
var,0.7978513398054974,0.011851920421029566,0.01202123312992612,cov_diag,62
A,10019.266026536841,96.38934157142958,95.2479112252601,cov,63
mu,0.19703404595415538,0.00908454428014025,0.008959923145739809,cov,63
var,0.8045928241562659,0.010484200606684873,0.010592316002254855,cov,63
A,10059.121168173733,99.78645470094115,99.75816270508096,cov_diag,63
mu,0.20070130047664833,0.008951204698465122,0.00895372681360276,cov_diag,63
var,0.8016008793311872,0.011644121387896032,0.011676972440208563,cov_diag,63
A,9814.930711775527,95.57376041150998,96.07289855365694,cov,64
mu,0.19839055128949576,0.009204215808118766,0.009244576700673822,cov,64
var,0.8073459340808349,0.011028900916993153,0.011091944997087868,cov,64
A,9802.110504410537,99.82896048156708,99.71669911280684,cov_diag,64
mu,0.19880612545692308,0.009183781565848958,0.009200314665043568,cov_diag,64
var,0.8071959891922811,0.012304385106636605,0.012337035256778487,cov_diag,64
A,9853.528212994637,95.77560718641227,95.85223310649354,cov,65
mu,0.21098420532354403,0.009183157939447075,0.009174551159559828,cov,65
var,0.8066871005480453,0.010723712396119935,0.010770845390261581,cov,65
A,9873.888916330077,99.36629876912713,100.18755515035156,cov_diag,65
mu,0.21212359981790188,0.009168955020209514,0.009079215833324146,cov_diag,65
